model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
GPT 4.1,1,4.644,0.0,4.644,4.644
GPT 4.1,2,4.28,0.1,4.18,4.38
GPT 4.1,3,3.7,0.12,3.58,3.82
GPT 4.1,4,3.1,0.16,2.94,3.26
GPT 4.1,5,2.55,0.14,2.41,2.69
GPT 4.1,6,1.55,0.12,1.43,1.67
GPT 4.1,7,1.0,0.05,0.95,1.05
Gemini 2.0 Flash,1,4.644,0.0,4.644,4.644
Gemini 2.0 Flash,2,4.18,0.1,4.08,4.28
Gemini 2.0 Flash,3,3.55,0.12,3.43,3.67
Gemini 2.0 Flash,4,2.9,0.15,2.75,3.05
Gemini 2.0 Flash,5,2.45,0.14,2.31,2.59
Gemini 2.0 Flash,6,1.55,0.12,1.43,1.67
Gemini 2.0 Flash,7,1.0,0.05,0.95,1.05
Claude Haiku 4.5,1,4.644,0.0,4.644,4.644
Claude Haiku 4.5,2,4.08,0.09,3.99,4.17
Claude Haiku 4.5,3,3.35,0.11,3.24,3.46
Claude Haiku 4.5,4,2.5,0.14,2.36,2.64
Claude Haiku 4.5,5,1.95,0.13,1.82,2.08
Claude Haiku 4.5,6,1.55,0.11,1.44,1.66
Claude Haiku 4.5,7,1.0,0.05,0.95,1.05
Oracle,1,4.644,0.0,4.644,4.644
Oracle,2,3.6,0.04,3.56,3.64
Oracle,3,2.75,0.06,2.69,2.81
Oracle,4,1.55,0.08,1.47,1.63
Oracle,5,1.0,0.06,0.94,1.06
Oracle,6,1.0,0.05,0.95,1.05
Oracle,7,1.0,0.05,0.95,1.05
