model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
GPT 4.1,1,4.644,0.0,4.644,4.644
GPT 4.1,2,4.3,0.12,4.18,4.42
GPT 4.1,3,3.55,0.15,3.4,3.7
GPT 4.1,4,2.7,0.2,2.5,2.9
GPT 4.1,5,2.15,0.18,1.97,2.33
GPT 4.1,6,1.9,0.12,1.78,2.02
GPT 4.1,7,0.95,0.08,0.87,1.03
GPT 4.1,8,0.0,0.05,0.0,0.05
Gemini 2.0 Flash,1,4.644,0.0,4.644,4.644
Gemini 2.0 Flash,2,4.35,0.12,4.23,4.47
Gemini 2.0 Flash,3,3.6,0.15,3.45,3.75
Gemini 2.0 Flash,4,3.05,0.18,2.87,3.23
Gemini 2.0 Flash,5,2.2,0.16,2.04,2.36
Gemini 2.0 Flash,6,1.2,0.1,1.1,1.3
Gemini 2.0 Flash,7,0.0,0.06,0.0,0.06
Gemini 2.0 Flash,8,0.0,0.04,0.0,0.04
Claude Haiku 4.5,1,4.644,0.0,4.644,4.644
Claude Haiku 4.5,2,4.45,0.12,4.33,4.57
Claude Haiku 4.5,3,4.1,0.16,3.94,4.26
Claude Haiku 4.5,4,3.85,0.18,3.67,4.03
Claude Haiku 4.5,5,2.6,0.16,2.44,2.76
Claude Haiku 4.5,6,1.0,0.12,0.88,1.12
Claude Haiku 4.5,7,0.0,0.06,0.0,0.06
Claude Haiku 4.5,8,0.0,0.04,0.0,0.04
Oracle,1,4.644,0.0,4.644,4.644
Oracle,2,4.0,0.05,3.95,4.05
Oracle,3,3.0,0.06,2.94,3.06
Oracle,4,2.0,0.06,1.94,2.06
Oracle,5,1.0,0.04,0.96,1.04
Oracle,6,0.0,0.0,0.0,0.0
Oracle,7,0.0,0.0,0.0,0.0
Oracle,8,0.0,0.0,0.0,0.0
