model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
GPT 4.1,1,4.644,0.0,4.644,4.644
GPT 4.1,2,3.85,0.12,3.73,3.97
GPT 4.1,3,3.05,0.15,2.9,3.2
GPT 4.1,4,2.4,0.18,2.22,2.58
GPT 4.1,5,1.75,0.16,1.59,1.91
GPT 4.1,6,1.1,0.12,0.98,1.22
GPT 4.1,7,0.5,0.1,0.4,0.6
GPT 4.1,8,0.0,0.05,0.0,0.05
Gemini 2.0 Flash,1,4.644,0.0,4.644,4.644
Gemini 2.0 Flash,2,3.7,0.1,3.6,3.8
Gemini 2.0 Flash,3,3.0,0.13,2.87,3.13
Gemini 2.0 Flash,4,2.1,0.16,1.94,2.26
Gemini 2.0 Flash,5,1.55,0.14,1.41,1.69
Gemini 2.0 Flash,6,1.0,0.1,0.9,1.1
Gemini 2.0 Flash,7,0.0,0.06,0.0,0.06
Gemini 2.0 Flash,8,0.0,0.04,0.0,0.04
Claude Haiku 4.5,1,4.644,0.0,4.644,4.644
Claude Haiku 4.5,2,4.05,0.12,3.93,4.17
Claude Haiku 4.5,3,3.55,0.14,3.41,3.69
Claude Haiku 4.5,4,3.15,0.15,3.0,3.3
Claude Haiku 4.5,5,2.35,0.14,2.21,2.49
Claude Haiku 4.5,6,1.9,0.12,1.78,2.02
Claude Haiku 4.5,7,1.1,0.1,1.0,1.2
Claude Haiku 4.5,8,0.0,0.05,0.0,0.05
Oracle,1,4.644,0.0,4.644,4.644
Oracle,2,3.55,0.04,3.51,3.59
Oracle,3,2.7,0.06,2.64,2.76
Oracle,4,1.55,0.06,1.49,1.61
Oracle,5,1.0,0.04,0.96,1.04
Oracle,6,0.0,0.02,0.0,0.02
Oracle,7,0.0,0.0,0.0,0.0
Oracle,8,0.0,0.0,0.0,0.0
