id,color,shape,material,size,pattern,origin,use_case,energy
0000,red,triangle,metal,XS,plaid,mountain,wearable,electric
0001,yellow,hexagon,plastic,L,plaid,rural,wearable,manual
0002,yellow,hexagon,fabric,XS,solid,urban,stationary,electric
0003,blue,square,fabric,M,solid,rural,indoor,electric
0004,black,circle,fabric,L,solid,rural,stationary,electric
0005,black,circle,wood,S,striped,coastal,wearable,electric
0006,blue,triangle,plastic,M,plaid,mountain,stationary,manual
0007,green,triangle,plastic,S,solid,mountain,indoor,electric
0008,red,triangle,wood,XS,plaid,urban,stationary,solar
0009,blue,circle,fabric,L,striped,coastal,outdoor,manual
000a,black,circle,fabric,XS,striped,mountain,outdoor,solar
000b,black,square,wood,L,dotted,rural,stationary,solar
000c,black,triangle,glass,L,solid,rural,indoor,electric
000d,green,circle,metal,L,dotted,rural,outdoor,electric
000e,yellow,triangle,glass,L,dotted,mountain,outdoor,electric
000f,black,hexagon,fabric,XS,dotted,urban,wearable,manual
0010,red,triangle,wood,L,striped,urban,outdoor,solar
0011,red,hexagon,metal,L,plaid,coastal,indoor,electric
0012,green,triangle,metal,S,dotted,coastal,indoor,solar
0013,green,triangle,wood,XL,plaid,coastal,wearable,manual
0014,black,triangle,wood,L,solid,coastal,stationary,manual
0015,green,triangle,metal,L,striped,coastal,stationary,solar
0016,red,triangle,metal,XS,striped,coastal,outdoor,electric
0017,blue,hexagon,metal,M,dotted,urban,wearable,manual
0018,black,triangle,wood,XL,plaid,coastal,wearable,manual
0019,black,triangle,wood,S,striped,urban,stationary,electric
001a,green,hexagon,fabric,M,plaid,mountain,outdoor,manual
001b,yellow,circle,fabric,L,dotted,urban,wearable,electric
001c,yellow,circle,plastic,L,solid,mountain,indoor,manual
001d,yellow,hexagon,glass,L,solid,mountain,stationary,electric
001e,green,triangle,fabric,XL,solid,urban,indoor,solar
001f,black,square,plastic,XL,plaid,coastal,outdoor,manual
0020,green,square,metal,XL,plaid,rural,stationary,solar
0021,yellow,circle,plastic,XS,plaid,mountain,stationary,manual
0022,black,square,wood,XS,dotted,mountain,outdoor,electric
0023,yellow,hexagon,fabric,XS,dotted,rural,indoor,solar
0024,black,circle,wood,M,dotted,urban,outdoor,electric
0025,black,circle,glass,L,solid,urban,stationary,electric
0026,blue,triangle,metal,L,plaid,rural,outdoor,electric
0027,black,circle,glass,XL,plaid,mountain,outdoor,manual
0028,yellow,square,glass,S,striped,mountain,wearable,electric
0029,green,square,plastic,M,striped,urban,outdoor,manual
002a,black,triangle,metal,M,striped,mountain,wearable,solar
002b,green,hexagon,metal,L,plaid,coastal,stationary,solar
002c,red,circle,plastic,M,dotted,mountain,outdoor,electric
002d,yellow,circle,wood,L,dotted,coastal,outdoor,electric
002e,yellow,triangle,plastic,XL,plaid,mountain,stationary,solar
002f,yellow,circle,metal,L,dotted,urban,wearable,electric
0030,blue,square,plastic,L,solid,coastal,wearable,manual
0031,green,circle,plastic,S,plaid,urban,stationary,solar
0032,green,triangle,fabric,XS,striped,coastal,stationary,solar
0033,black,square,metal,XS,striped,rural,wearable,solar
0034,yellow,square,fabric,M,solid,urban,indoor,solar
0035,yellow,square,plastic,XL,dotted,urban,stationary,electric
0036,black,hexagon,glass,L,dotted,urban,indoor,solar
0037,green,square,fabric,S,striped,mountain,outdoor,manual
0038,red,hexagon,glass,L,striped,urban,outdoor,solar
0039,black,hexagon,metal,L,striped,mountain,indoor,manual
003a,black,hexagon,plastic,S,solid,urban,wearable,manual
003b,yellow,hexagon,glass,L,striped,urban,outdoor,manual
003c,blue,hexagon,plastic,M,dotted,rural,indoor,electric
003d,red,circle,metal,XS,striped,mountain,stationary,solar
003e,yellow,triangle,glass,S,striped,urban,outdoor,manual
003f,blue,triangle,glass,S,plaid,rural,indoor,solar
0040,black,triangle,wood,XL,plaid,mountain,outdoor,manual
0041,green,circle,metal,L,plaid,mountain,wearable,electric
0042,green,hexagon,metal,XS,plaid,coastal,stationary,solar
0043,green,hexagon,metal,M,plaid,coastal,wearable,electric
0044,green,hexagon,plastic,S,striped,rural,wearable,manual
0045,red,hexagon,plastic,L,plaid,mountain,indoor,electric
0046,yellow,circle,plastic,M,solid,mountain,outdoor,manual
0047,yellow,square,fabric,XL,solid,coastal,indoor,electric
0048,red,square,plastic,L,solid,rural,stationary,electric
0049,green,hexagon,metal,XL,dotted,rural,outdoor,electric
004a,green,circle,plastic,S,solid,mountain,wearable,manual
004b,black,square,metal,S,dotted,rural,wearable,manual
004c,green,square,fabric,XS,plaid,urban,wearable,solar
004d,yellow,triangle,wood,XS,plaid,coastal,indoor,electric
004e,black,square,metal,M,dotted,rural,wearable,electric
004f,green,square,wood,L,striped,rural,stationary,electric
0050,blue,square,glass,XS,dotted,mountain,indoor,manual
0051,red,circle,metal,XS,striped,coastal,stationary,manual
0052,black,triangle,fabric,M,plaid,urban,stationary,electric
0053,green,triangle,wood,S,plaid,mountain,wearable,electric
0054,black,triangle,fabric,XL,dotted,rural,wearable,manual
0055,green,circle,fabric,XL,dotted,urban,indoor,electric
0056,black,square,plastic,L,solid,rural,stationary,manual
0057,green,square,glass,XS,dotted,rural,indoor,solar
0058,yellow,triangle,metal,L,plaid,rural,indoor,electric
0059,yellow,square,metal,S,solid,mountain,wearable,electric
005a,green,circle,glass,S,striped,rural,indoor,electric
005b,black,triangle,fabric,L,plaid,coastal,wearable,electric
005c,red,hexagon,fabric,XS,plaid,rural,indoor,manual
005d,green,triangle,glass,M,plaid,mountain,indoor,manual
005e,green,triangle,metal,S,dotted,mountain,stationary,electric
005f,red,hexagon,plastic,XS,striped,mountain,outdoor,electric
0060,red,triangle,fabric,XL,plaid,coastal,indoor,electric
0061,black,circle,wood,L,solid,coastal,stationary,electric
0062,yellow,hexagon,fabric,L,plaid,mountain,outdoor,solar
0063,black,square,wood,M,solid,rural,outdoor,electric
0064,green,square,metal,XS,plaid,urban,outdoor,electric
0065,blue,triangle,metal,L,plaid,rural,stationary,manual
0066,yellow,triangle,plastic,XS,solid,coastal,indoor,solar
0067,yellow,triangle,fabric,XS,dotted,coastal,outdoor,solar
0068,blue,circle,plastic,XL,dotted,rural,outdoor,electric
0069,green,circle,wood,L,dotted,coastal,wearable,electric
006a,yellow,circle,plastic,S,dotted,rural,indoor,manual
006b,green,circle,metal,S,striped,coastal,stationary,manual
006c,black,square,fabric,XL,striped,coastal,wearable,solar
006d,blue,triangle,wood,XS,solid,urban,indoor,solar
006e,black,square,metal,XL,plaid,urban,stationary,manual
006f,blue,triangle,glass,S,plaid,urban,indoor,electric
0070,blue,triangle,metal,M,dotted,coastal,indoor,electric
0071,red,hexagon,metal,S,dotted,rural,outdoor,manual
0072,yellow,square,fabric,S,plaid,coastal,stationary,electric
0073,black,circle,glass,XS,solid,rural,wearable,electric
0074,red,square,metal,XL,solid,coastal,indoor,manual
0075,blue,hexagon,metal,S,dotted,rural,outdoor,manual
0076,blue,square,fabric,L,plaid,rural,stationary,solar
0077,black,circle,plastic,L,plaid,urban,wearable,manual
0078,green,circle,wood,S,striped,coastal,indoor,manual
0079,red,triangle,metal,L,plaid,coastal,wearable,solar
007a,blue,square,plastic,M,dotted,urban,stationary,electric
007b,yellow,triangle,wood,M,plaid,rural,wearable,solar
007c,red,square,fabric,XL,dotted,mountain,indoor,electric
007d,green,circle,plastic,L,dotted,mountain,outdoor,electric
007e,black,square,glass,S,solid,coastal,wearable,manual
007f,black,square,metal,XL,plaid,coastal,stationary,electric
0080,yellow,hexagon,glass,M,solid,mountain,indoor,solar
0081,yellow,circle,wood,L,dotted,rural,indoor,manual
0082,red,hexagon,metal,XL,dotted,mountain,outdoor,manual
0083,yellow,hexagon,wood,M,dotted,rural,indoor,manual
0084,blue,hexagon,glass,XL,dotted,coastal,indoor,manual
0085,black,square,glass,M,dotted,urban,wearable,solar
0086,green,triangle,metal,XL,dotted,coastal,indoor,electric
0087,red,square,glass,M,solid,mountain,wearable,electric
0088,red,circle,plastic,S,striped,urban,outdoor,electric
0089,blue,circle,fabric,L,striped,mountain,outdoor,solar
008a,red,hexagon,plastic,L,plaid,rural,indoor,manual
008b,black,circle,glass,XL,dotted,mountain,stationary,solar
008c,green,square,metal,S,plaid,coastal,indoor,solar
008d,yellow,hexagon,wood,M,dotted,urban,indoor,electric
008e,yellow,square,metal,S,plaid,coastal,stationary,solar
008f,red,hexagon,fabric,M,striped,rural,wearable,solar
0090,blue,hexagon,wood,M,solid,urban,indoor,manual
0091,black,circle,wood,S,striped,urban,stationary,manual
0092,blue,circle,plastic,XL,plaid,mountain,indoor,manual
0093,green,circle,plastic,XS,solid,coastal,stationary,electric
0094,blue,triangle,glass,XS,dotted,rural,indoor,solar
0095,blue,square,glass,XL,dotted,mountain,stationary,electric
0096,blue,hexagon,wood,XS,plaid,coastal,outdoor,solar
0097,blue,triangle,glass,XS,dotted,mountain,stationary,electric
0098,black,circle,metal,XS,plaid,mountain,stationary,solar
0099,black,triangle,plastic,XL,striped,coastal,wearable,solar
009a,black,triangle,wood,XS,solid,rural,wearable,electric
009b,black,circle,glass,M,solid,coastal,outdoor,solar
009c,blue,hexagon,glass,S,striped,rural,stationary,solar
009d,yellow,triangle,plastic,L,solid,mountain,stationary,manual
009e,green,circle,glass,S,plaid,urban,stationary,electric
009f,green,square,wood,XL,dotted,coastal,stationary,solar
00a0,yellow,hexagon,fabric,XS,dotted,urban,wearable,solar
00a1,black,circle,wood,XS,striped,coastal,stationary,manual
00a2,red,hexagon,wood,XS,solid,rural,stationary,manual
00a3,blue,hexagon,fabric,S,plaid,coastal,indoor,solar
00a4,yellow,triangle,metal,XS,solid,rural,wearable,solar
00a5,black,triangle,fabric,M,striped,mountain,indoor,solar
00a6,yellow,hexagon,fabric,XS,solid,mountain,outdoor,manual
00a7,yellow,square,metal,M,striped,rural,wearable,electric
00a8,green,triangle,wood,L,plaid,urban,wearable,solar
00a9,green,hexagon,wood,S,plaid,urban,outdoor,manual
00aa,blue,square,metal,L,dotted,urban,outdoor,solar
00ab,blue,triangle,wood,S,dotted,urban,wearable,electric
00ac,blue,triangle,wood,M,striped,mountain,stationary,manual
00ad,blue,square,plastic,XL,plaid,mountain,wearable,manual
00ae,yellow,triangle,fabric,XL,dotted,urban,wearable,solar
00af,red,circle,metal,L,striped,mountain,wearable,manual
00b0,yellow,square,plastic,L,dotted,coastal,indoor,manual
00b1,red,triangle,fabric,XL,solid,rural,stationary,manual
00b2,blue,circle,wood,S,striped,mountain,indoor,solar
00b3,red,square,glass,XS,solid,coastal,stationary,electric
00b4,red,hexagon,glass,M,dotted,mountain,indoor,solar
00b5,blue,square,metal,XL,solid,mountain,stationary,solar
00b6,red,triangle,fabric,S,plaid,rural,outdoor,electric
00b7,yellow,triangle,fabric,XS,plaid,urban,stationary,solar
00b8,yellow,square,fabric,L,solid,mountain,stationary,manual
00b9,red,square,metal,L,striped,urban,indoor,electric
00ba,yellow,square,plastic,XS,plaid,mountain,outdoor,manual
00bb,blue,circle,fabric,XL,dotted,rural,indoor,solar
00bc,black,circle,wood,M,dotted,coastal,indoor,electric
00bd,red,triangle,glass,M,plaid,rural,stationary,solar
00be,yellow,hexagon,wood,S,plaid,coastal,stationary,solar
00bf,green,square,glass,XL,striped,rural,wearable,electric
00c0,blue,hexagon,fabric,L,dotted,coastal,wearable,solar
00c1,red,square,plastic,XS,striped,rural,stationary,electric
00c2,yellow,hexagon,wood,S,dotted,coastal,indoor,solar
00c3,blue,hexagon,fabric,XS,dotted,mountain,stationary,solar
00c4,red,circle,plastic,L,striped,urban,indoor,manual
00c5,green,circle,metal,S,plaid,urban,stationary,electric
00c6,red,hexagon,plastic,XS,solid,coastal,stationary,manual
00c7,blue,hexagon,plastic,XS,plaid,rural,wearable,manual
00c8,yellow,hexagon,metal,L,dotted,urban,indoor,solar
00c9,red,hexagon,plastic,XL,plaid,mountain,outdoor,manual
00ca,red,square,wood,XL,striped,mountain,stationary,electric
00cb,black,triangle,wood,S,plaid,rural,outdoor,solar
00cc,red,circle,glass,L,solid,coastal,stationary,electric
00cd,red,square,wood,S,striped,mountain,stationary,electric
00ce,yellow,hexagon,glass,XL,solid,coastal,indoor,electric
00cf,black,circle,glass,XL,dotted,mountain,outdoor,manual
00d0,red,circle,plastic,M,solid,urban,indoor,solar
00d1,black,triangle,plastic,L,solid,mountain,stationary,electric
00d2,red,hexagon,fabric,S,plaid,urban,outdoor,manual
00d3,black,hexagon,glass,S,plaid,coastal,indoor,electric
00d4,blue,triangle,plastic,XS,dotted,urban,outdoor,electric
00d5,blue,square,plastic,L,plaid,rural,indoor,electric
00d6,yellow,circle,wood,XL,solid,rural,indoor,manual
00d7,blue,hexagon,glass,L,dotted,rural,outdoor,manual
00d8,blue,square,metal,XL,striped,urban,stationary,solar
00d9,black,circle,wood,XL,plaid,urban,indoor,solar
00da,black,square,fabric,XL,plaid,rural,indoor,electric
00db,green,circle,plastic,S,solid,rural,indoor,solar
00dc,blue,square,plastic,XS,dotted,coastal,indoor,solar
00dd,black,square,metal,L,solid,coastal,outdoor,manual
00de,red,square,metal,XS,solid,rural,indoor,electric
00df,green,circle,metal,S,dotted,mountain,outdoor,solar
00e0,blue,triangle,glass,S,striped,urban,outdoor,electric
00e1,yellow,circle,glass,XL,solid,urban,stationary,solar
00e2,green,hexagon,metal,XS,plaid,rural,wearable,manual
00e3,blue,triangle,glass,XL,plaid,urban,indoor,solar
