id,color,shape,material,size,pattern,origin,use_case,energy
050d,yellow,square,glass,L,plaid,coastal,outdoor,manual
0ffd,black,hexagon,glass,L,solid,mountain,outdoor,solar
1893,blue,circle,metal,L,solid,rural,wearable,solar
2f74,blue,square,fabric,XS,solid,urban,outdoor,manual
3184,green,square,fabric,S,plaid,urban,indoor,manual
3f70,green,triangle,plastic,M,solid,mountain,indoor,solar
4cb1,blue,hexagon,wood,M,plaid,coastal,indoor,solar
4f82,green,square,plastic,M,dotted,urban,indoor,solar
5a46,green,triangle,fabric,S,dotted,mountain,stationary,electric
642a,red,hexagon,glass,S,dotted,mountain,indoor,solar
6d96,red,circle,wood,S,solid,rural,stationary,electric
7174,green,hexagon,metal,S,striped,mountain,outdoor,manual
7792,yellow,hexagon,glass,XS,dotted,urban,indoor,solar
9a1d,blue,triangle,plastic,XL,striped,urban,wearable,electric
a080,black,square,wood,M,plaid,rural,wearable,manual
aff9,green,triangle,wood,L,solid,mountain,outdoor,solar
b9f7,black,hexagon,fabric,L,dotted,coastal,indoor,manual
bbb5,yellow,circle,plastic,XS,plaid,coastal,stationary,electric
c1db,black,hexagon,fabric,M,plaid,coastal,outdoor,electric
d032,red,triangle,metal,M,solid,mountain,indoor,manual
d077,yellow,triangle,wood,XS,solid,urban,stationary,solar
d5a7,green,circle,metal,S,dotted,mountain,wearable,electric
d785,yellow,hexagon,fabric,M,dotted,urban,indoor,manual
e110,yellow,circle,fabric,M,plaid,rural,stationary,manual
f9a2,green,triangle,glass,L,plaid,coastal,wearable,electric
