id,color,shape,material,size,pattern,origin,use_case,energy
0000,green,hexagon,wood,M,dotted,urban,outdoor,solar
0001,green,circle,glass,S,striped,mountain,stationary,solar
0002,yellow,triangle,metal,L,striped,mountain,stationary,electric
0003,yellow,hexagon,wood,S,dotted,coastal,stationary,electric
0004,black,triangle,wood,L,solid,mountain,wearable,electric
0005,black,circle,glass,L,striped,rural,wearable,manual
0006,red,square,plastic,M,plaid,rural,indoor,manual
0007,blue,square,wood,L,solid,mountain,stationary,solar
0008,green,triangle,fabric,M,striped,mountain,indoor,solar
0009,green,hexagon,plastic,L,striped,coastal,stationary,solar
000a,black,triangle,glass,S,striped,mountain,wearable,solar
000b,blue,hexagon,metal,S,striped,rural,outdoor,solar
000c,red,circle,metal,M,solid,rural,stationary,electric
000d,green,triangle,plastic,L,solid,coastal,outdoor,solar
000e,red,square,plastic,L,striped,rural,stationary,electric
000f,black,hexagon,glass,S,solid,urban,outdoor,solar
0010,yellow,square,glass,XS,dotted,urban,wearable,electric
0011,black,hexagon,plastic,S,striped,rural,outdoor,manual
0012,yellow,triangle,glass,S,plaid,urban,indoor,solar
0013,blue,triangle,wood,S,solid,mountain,outdoor,manual
0014,blue,square,metal,XL,striped,urban,outdoor,manual
0015,blue,circle,wood,S,plaid,rural,indoor,electric
0016,blue,circle,fabric,XS,plaid,rural,wearable,solar
0017,yellow,circle,metal,XS,plaid,coastal,indoor,manual
0018,blue,circle,glass,XL,plaid,mountain,outdoor,electric
0019,yellow,triangle,metal,M,dotted,rural,wearable,electric
001a,blue,circle,plastic,M,solid,coastal,outdoor,electric
001b,black,triangle,glass,XS,striped,mountain,stationary,solar
001c,yellow,square,wood,S,dotted,rural,outdoor,electric
001d,blue,hexagon,plastic,L,solid,coastal,indoor,manual
001e,blue,square,glass,S,dotted,coastal,outdoor,electric
001f,yellow,triangle,metal,XL,striped,coastal,indoor,electric
0020,yellow,hexagon,glass,S,plaid,coastal,wearable,electric
0021,blue,circle,metal,M,solid,rural,wearable,manual
0022,green,square,fabric,XS,dotted,mountain,wearable,electric
0023,yellow,hexagon,plastic,S,solid,mountain,wearable,electric
0024,green,square,glass,S,solid,urban,stationary,manual
0025,blue,square,metal,XL,dotted,mountain,stationary,electric
0026,blue,circle,fabric,M,plaid,urban,stationary,electric
0027,blue,triangle,metal,S,plaid,mountain,stationary,solar
0028,red,square,wood,S,solid,urban,outdoor,electric
0029,black,hexagon,plastic,L,solid,coastal,wearable,solar
002a,blue,triangle,wood,XS,plaid,coastal,indoor,electric
002b,yellow,hexagon,metal,L,plaid,mountain,wearable,solar
002c,yellow,circle,glass,M,dotted,rural,wearable,electric
002d,black,circle,metal,XS,solid,mountain,outdoor,electric
002e,red,circle,fabric,M,dotted,mountain,stationary,electric
002f,black,hexagon,fabric,M,solid,rural,wearable,manual
0030,yellow,circle,wood,XS,dotted,coastal,outdoor,solar
0031,blue,hexagon,wood,L,dotted,mountain,outdoor,manual
0032,red,triangle,wood,S,dotted,rural,indoor,manual
0033,black,hexagon,wood,XS,solid,urban,outdoor,solar
0034,black,triangle,metal,XL,striped,coastal,indoor,manual
0035,green,circle,metal,S,dotted,urban,outdoor,manual
0036,green,hexagon,wood,XL,plaid,coastal,outdoor,solar
0037,yellow,circle,glass,M,plaid,mountain,stationary,manual
0038,red,triangle,glass,M,solid,rural,indoor,electric
0039,black,triangle,metal,S,dotted,rural,wearable,solar
003a,blue,circle,wood,XS,dotted,coastal,indoor,electric
003b,yellow,hexagon,fabric,M,solid,rural,stationary,electric
003c,blue,circle,glass,M,striped,rural,indoor,manual
003d,red,circle,plastic,L,plaid,coastal,outdoor,solar
003e,red,triangle,glass,XL,solid,mountain,stationary,manual
003f,yellow,triangle,wood,M,striped,rural,outdoor,manual
0040,blue,circle,metal,XS,solid,rural,stationary,electric
0041,red,square,glass,S,plaid,coastal,outdoor,solar
0042,black,hexagon,metal,L,plaid,coastal,outdoor,electric
0043,black,circle,fabric,M,striped,urban,stationary,manual
0044,black,circle,metal,M,plaid,mountain,outdoor,electric
0045,yellow,circle,wood,S,plaid,urban,wearable,electric
0046,red,circle,plastic,M,solid,urban,indoor,electric
0047,black,circle,fabric,L,plaid,urban,wearable,electric
0048,black,hexagon,metal,XS,solid,mountain,wearable,manual
0049,blue,circle,fabric,S,solid,coastal,wearable,manual
004a,blue,circle,metal,XS,solid,rural,indoor,electric
